ID	Title	ProvinceID
1	آب بر	14
2	آباد	7
3	آبادان	13
5	آباده	17
6	آباده طشک	17
7	آبپخش	7
8	آبدان	7
9	آبدانان	6
10	آبژدان	13
11	آبسرد	8
12	آبش احمد	1
13	آبعلی	8
14	آبگرم	18
15	آبی بیگلو	3
16	آبیک	18
17	آجین	30
18	آچاچی	1
19	آذرشهر	1
20	آرادان	15
21	آران و بیدگل	4
22	آرمرده	20
23	آرین شهر	10
24	آزادشهر	24
25	آزادی	13
26	آسارا	5
27	آستارا	25
28	آستانه	28
29	آستانه اشرفیه	25
30	آسمان آباد	6
31	آشتیان	28
32	آشخانه	12
33	آغاجاری	13
34	آق قلا	24
35	آقکند	1
36	آلاشت	27
37	آلونی	9
38	آمل	27
39	آوا	12
40	آواجیق	2
41	آوج	18
42	آوه	28
43	آیسک	10
44	ابرکوه	31
45	ابهر	14
46	ابوحمیظه	13
47	ابوزیدآباد	4
48	ابوموسی	29
49	احمدآباد	31
50	احمدآباد مستوفی	8
51	احمدآبادصولت	11
52	احمدسرگوراب	25
53	اختیارآباد	21
54	ادیمی	16
55	اراک	28
56	ارجمند	8
57	ارداق	18
58	اردبیل	3
59	اردستان	4
60	اردل	9
61	اردل	9
62	اردکان (سپیدان)	17
63	اردکان (یزد)	31
64	ارزوئیه	21
65	ارسنجان	17
66	ارسک	10
67	ارطه	27
68	ارمغانخانه	14
69	ارومیه	2
70	اروندکنار	13
71	ارکواز	6
72	ازگله	22
73	ازنا	26
74	ازندریان	30
75	اژیه	4
76	اسالم	25
77	اسپکه	16
78	استهبان	17
79	اسدآباد	30
80	اسدیه	10
81	اسفدن	10
82	اسفراین	12
83	اسفرورین	18
84	اسلام آباد (اردبیل)	3
85	اسلام آباد (تهران)	8
86	اسلام آبادغرب	22
87	اسلامشهر	8
88	اسلامیه	10
89	اسکو	1
90	اسیر	17
91	اشترینان	26
92	اشتهارد	5
93	اشنویه	2
94	اشکذر	31
95	اشکنان	17
96	اصغرآباد	4
97	اصفهان	4
99	اصلاندوز	3
100	اطاقور	25
101	افزر	17
102	افوس	4
103	اقبالیه	18
104	اقلید	17
105	الشتر	26
106	الهایی	13
107	الوان	13
108	الوند	18
109	الیگودرز	26
110	امام حسن	7
111	امام زاده عبدالله	27
112	امام شهر	17
113	املش	25
114	امیدیه	13
115	امیرکلا	27
116	امیریه (تهران)	8
117	امیریه (سمنان)	15
118	امین شهر	21
119	انابد	11
120	انار	21
121	انارستان	7
122	انارک	4
123	انبارآلوم	24
124	اندوهجرد	21
125	اندیشه	5
126	اندیمشک	13
127	اهر	1
128	اهرم	7
129	اهل	17
130	اهواز	13
132	اورامان تخت	20
133	اوز	17
134	ایج	17
135	ایذه	13
136	ایرانشهر	16
137	ایزدخواست	17
138	ایزدشهر	27
139	ایسین و تازیان	29
140	ایلام	6
141	ایلخچی	1
142	ایمانشهر	4
143	اینچه برون	24
144	ایوان	6
145	ایوان غرب	6
146	ایوانکی	15
147	ایواوغلی	2
148	ایور	12
149	باب انار	17
150	باباحیدر	9
151	بابارشانی	20
152	بابامنیر	17
153	بابل	27
154	بابلسر	27
155	باجگیران	11
156	باخرز	11
157	بادرود	4
158	بادوله	7
159	بار	11
160	باروق	2
161	بازارجمعه	25
162	بازرگان	2
163	بازفت	9
164	باسمنج	1
165	باشت	23
166	باغ بهادران	4
167	باغستان	8
168	باغشاد	4
169	باغملک	13
170	باغین	21
171	بافت	21
172	بافران	4
173	بافق	31
174	باقرشهر	8
175	بالاده	17
176	بانه	20
178	بانه وره	22
179	باینگان	22
180	بایک	11
181	بجستان	11
182	بجنورد	12
183	بختگان	17
184	بخشایش	1
185	بدره	6
186	برازجان	7
187	بردخون	7
188	بردستان	7
189	بردسکن	11
190	بردسیر	21
191	برده رشه	20
192	برزول	30
193	برزک	4
194	برف انبار	4
195	بره سر	25
196	بروات	21
197	بروجرد	26
198	بروجن	9
199	بزمان	16
200	بزنجان	21
201	بستان	13
202	بستان آباد	1
203	بستک	29
204	بسطام	15
205	بشاگرد	29
206	بشرویه	10
207	بفروئیه	31
208	بلاوه	6
209	بلبان آباد	20
210	بلداجی	9
211	بلده	27
212	بلورد	21
213	بلوک	21
214	بم 	21
215	بمپور	16
216	بن	9
217	بناب	1
218	بناب مرند	1
219	بنارویه	17
220	بنت	16
221	بنجار	16
222	بندر خمیر	29
223	بندر دولاب	29
224	بندر دیر	7
225	بندر سیریک	29
226	بندر عامری	7
227	بندر گز	24
228	بندر کنگ	29
229	بندر کوهستک	29
230	بندر کیاشهر	25
231	بندرامام خمینی	13
232	بندرانزلی	25
233	بندرترکمن	24
234	بندرجاسک	29
235	بندرچارک	29
236	بندردلوار	7
237	بندردیلم	7
238	بندرریگ	7
239	بندرعباس	29
242	بندرگناوه	7
243	بندرلنگه	29
244	بنک	7
245	بهاباد	31
246	بهار (همدان)	30
247	بهاران شهر	4
248	بهارستان	8
249	بهارستان اصفهان	4
250	بهبهان	13
251	بهرمان	21
252	بهشهر	27
253	بهمن	17
254	بهنمیر	27
255	بوئین زهرا	18
256	بوئین سفلی	20
257	بوئین ومیاندشت	4
258	بوانات	17
259	بوشهر	7
262	بوشکان	7
263	بومهن	8
264	بوکان	2
265	بیارجمند	15
266	بیجار	20
267	بیدخت	11
268	بیدروبه	13
269	بیدستان	18
270	بیران شهر	26
271	بیرجند	10
272	بیرم	17
273	بیستون	22
274	بیضا	17
275	بیله سوار	3
276	بیکاه	29
277	پاتاوه	23
278	پارس آباد	3
279	پارسیان	29
280	پاریز	21
281	پالایشگاه اصفهان	4
282	پاوه	22
283	پاکدشت	8
284	پایین هولار	27
285	پردنجان	9
286	پردیس	8
287	پرند	8
288	پرندک	28
289	پره سر	25
290	پل سفید	27
291	پلدختر	26
292	پلدشت	2
293	پهله	6
294	پول	27
295	پیران	22
296	پیرانشهر	2
297	پیربکران	4
298	پیرتاج	20
299	پیش قلعه	12
300	پیشوا	8
301	پیشین	16
302	تاتارعلیا	24
303	تازه آباد	22
304	تازه شهر	2
305	تازه کند	3
306	تازه کندانگوت	3
307	تازیان پایین	29
308	تالش	25
309	تاکستان	18
310	تایباد	11
311	تبریز	1
313	تجریش	8
314	تخت	29
315	تربت جام	11
316	تربت حیدریه	11
317	ترک	1
318	ترکالکی	13
319	ترکمانچای	1
320	ترکمن	24
321	تسوج	1
322	تشان	13
323	تفت	31
324	تفرش	28
325	تل خسرو	23
326	تنگ ارم	7
327	تنکابن	27
328	تنکمان	5
329	تهران	8
331	توپ آغاج	20
332	توتکابن	25
333	توحید	6
334	تودشک	4
335	توره	28
336	تویسرکان	30
337	تکاب	2
338	تیتکانلو	12
339	تیران	4
340	تیرور	29
341	تیمورلو	1
342	تیکمه داش	1
343	ثبت	11
344	ثلاث باباجانی	22
345	جاجرم	12
346	جاجرود	8
347	جالق	16
348	جاورسیان	28
349	جایزان	13
350	جبالبارز	21
351	جعفرآباد	3
352	جعفریه	19
353	جغتای	11
354	جلفا	1
355	جلین	24
356	جم	7
357	جناح	29
358	جنت شهر	17
359	جنت مکان	13
360	جندق	4
361	جنگل	11
362	جهرم	17
363	جوادآباد	8
364	جوادیه الهیه	21
365	جوان قلعه	1
366	جوانرود	22
367	جوپار	21
368	جورقان	30
369	جوزدان	4
370	جوزم	21
371	جوشقان قالی	4
372	جونقان	9
373	جوکار	30
374	جویبار	27
375	جویم	17
376	جوین	11
377	جیرفت	21
378	جیرنده	25
379	چابهار	16
380	چابکسر	25
381	چاپشلو	11
382	چادگان	4
383	چاف وچمخاله	25
384	چالانچولان	26
385	چالدران	2
386	چالدران	2
387	چالوس	27
388	چاه بهار	16
389	چایپاره	2
390	چترود	21
391	چرام	23
392	چرمهین	4
393	چغادک	7
394	چغامیش	13
395	چقابل	26
396	چلگرد	9
397	چلیچه	9
398	چم گلک	13
399	چمران	13
400	چمستان	27
401	چمگردان	4
402	چناران	11
403	چناران شهر	12
404	چناره	20
405	چهارباغ	5
406	چهاربرج	2
407	چهاردانگه	8
408	چوئبده	13
409	چوار	6
410	چوبر	25
411	چورزق	14
412	چکنه	11
413	چیتاب	23
414	حاجی آباد ( خراسان جنوبی)	10
415	حاجی آباد (زرین دشت فارس)	17
416	حاجی آباد (هرمزگان)	29
417	حبیب آباد	4
418	حر	13
419	حسامی	17
420	حسن آباد (اصفهان)	4
421	حسن آباد (تهران)	8
422	حسن آباد (فارس)	17
423	حسین آباد (قزوین)	18
424	حسینیه	13
425	حصارگرمخان	12
426	حصارک بالا	5
427	حصارک پایین	5
428	حلب	14
429	حمزه	13
430	حمیدیه	13
431	حمیل	22
432	حنا	4
433	حویق	25
434	حکم آباد	11
435	خاتون آباد	21
436	خاروانا	1
437	خارک	7
438	خاش	16
439	خالدآباد	4
440	خامنه	1
441	خان ببین	24
442	خانمیرزا	9
443	خانه زنیان	17
444	خانوک	21
445	خانیمن	17
446	خاوران	17
447	خاورشهر	8
448	خاکعلی	18
449	خداجو	1
450	خرامه	17
451	خرم آباد (لرستان)	26
452	خرم آباد (مازندران)	27
453	خرمبید	17
454	خرمدره	14
455	خرمدشت	18
456	خرمشهر	13
457	خرو	11
458	خسروشاه	1
459	خشت	17
460	خشکبیجار	25
461	خشکرود	28
462	خضرآباد	31
463	خضری دشت بیاض	10
464	خفر	17
465	خلخال	3
466	خلیفان	2
467	خلیل آباد	11
468	خلیل شهر	27
469	خمارلو	1
470	خمام	25
471	خمین	28
472	خمینی شهر	4
473	خنافره	13
474	خنج	17
475	خنجین	28
476	خنداب	28
477	خواجه	1
478	خواجوشهر	21
479	خواف	11
480	خوانسار	4
481	خور (اصفهان)	4
482	خور (فارس)	17
483	خورزوق (اصفهان)	4
484	خورسند	21
485	خورموج	7
486	خوزی	17
487	خوسف	10
488	خوش رودپی	27
489	خومه زار	17
490	خونسرخ	29
491	خونسرخ	29
492	خوی	2
493	دابودشت	27
494	داراب	17
495	داران (فریدن)	4
496	دارخوین	13
497	داریان	17
498	دالکی	7
499	دامغان	15
500	دامنه	4
501	دانسفهان	18
502	داودآباد	28
503	داورزن	11
504	دبیران	17
505	درب بهشت	21
506	درب گنبد	26
507	درجزین	15
508	درچه	4
509	درچه پیاز	4
510	درق	12
511	درگز	11
512	درگهان	29
513	دره شهر	6
514	درود	11
515	دزج	20
516	دزفول	13
517	دژکرد	17
518	دستجرد	19
519	دستگرد	4
520	دستنا	9
521	دشتک	9
522	دشتکار	21
523	دشتی	29
524	دلبران	20
525	دلگشا	6
526	دلند	24
527	دلوار	7
528	دلیجان	28
529	دماوند	8
530	دمق	30
531	دندی	14
532	دهاقان	4
533	دهبارز	29
534	دهج	21
535	دهدز	13
536	دهدشت	23
537	دهرم	17
538	دهق	4
539	دهگلان	20
540	دهلران	6
541	دوبرجی	17
542	دوراهک	7
543	دورود	26
544	دوزدوزان	1
545	دوزه	17
546	دوساری	21
547	دوست محمد	16
548	دوگنبدان	23
549	دولت آباد(اصفهان)	4
550	دولت آباد(خراسان رضوی)	11
551	دیباج	15
552	دیزج دیز	2
553	دیزیچه	4
554	دیشموک	23
555	دیلمان	25
556	دیهوک	10
557	دیواندره	20
558	رابر	21
559	راز	12
560	رازقان	28
561	رازمیان	18
562	راسک	16
563	رامجرد	17
564	رامسر	27
565	رامشیر	13
566	رامهرمز	13
567	رامیان	24
568	رانکوه	25
569	راور	21
570	راین	21
571	رباط	22
572	رباط سنگ	11
573	رباط کریم	8
574	ربط	2
575	رحیم آباد	25
576	رحیم آباد  کلاچای	25
577	رزن	30
578	رزوه	4
579	رستم	17
580	رستم آباد	25
581	رستم کلا	27
582	رشت	25
584	رشتخوار	11
585	رضوانشهر	25
586	رضویه	11
587	رضی	3
588	رفسنجان	21
589	رفیع	13
590	رمکان	29
591	روانسر	22
592	روداب	11
593	رودان	29
594	رودبار (گیلان)	25
595	رودبار (کرمان)	21
596	رودبنه	25
597	رودسر	25
598	رودهن	8
599	رودیان	15
600	رومشگان	26
601	رونیز	17
602	رویان (سمنان)	15
603	رویان (مازندران)	27
604	رویدر	29
605	ریجاب	22
606	ریحان شهر	21
607	ریز	7
608	رینه	27
609	ریوش	11
610	زابل	16
611	زارچ	31
612	زازران	4
613	زاغمرز	27
614	زاغه	26
615	زاهدان	16
617	زاهدشهر	17
618	زاویه	28
619	زاینده رود	4
620	زرآباد (آذربایجان غربی)	2
621	زرآباد (سیستان و بلوچستان)	16
622	زرقان	17
623	زرگر محله	27
624	زرند	21
625	زرندیه	28
626	زرنق	1
627	زرنه	6
628	زرین آباد	14
629	زرین رود	14
630	زرین شهر	4
631	زرینه	20
632	زنجان	14
633	زنگنه	30
634	زنگی آباد	21
635	زنوز	1
636	زهان	10
637	زهره	13
638	زهوکی	29
639	زهک	16
640	زهکلوت	21
641	زواره	4
642	زیار	4
643	زیارت	12
644	زیارتعلی	29
645	زیباشهر	4
646	زیدآباد	21
647	زیرآب 	27
648	ساروق	28
649	ساری	27
651	سالند	13
652	سامان	9
653	سامن	30
654	ساوه	28
655	سبزدشت	8
656	سبزوار	11
657	سپاهان شهر	4
658	سپیدان	17
659	سپیددشت	26
660	سجاس	14
661	سجزی	4
662	سده	17
663	سده لنجان	4
664	سراب	1
665	سراب باغ	6
666	سراب دوره	26
667	سرابله	6
668	سراوان (سیستان و بلوچستان)	16
669	سراوان (گیلان)	25
670	سرایان	10
671	سرباز	16
672	سربندر	13
673	سربیشه	10
674	سرپل ذهاب	22
675	سرچشمه	21
676	سرخرود	27
677	سرخس	11
678	سرخنکلاته	24
679	سرخه	15
680	سرخون	9
681	سرداران	13
682	سردرود	1
683	سردشت (آذربایجان غربی)	2
684	سردشت (خوزستان)	13
685	سردشت (هرمزگان)	29
686	سردشت لردگان	9
687	سرعین	3
688	سرفاریاب	23
689	سرگز	29
690	سرمست	22
691	سرو	2
692	سروآباد	20
693	سروستان	17
694	سرکان	30
695	سریش آباد	20
696	سطر	22
697	سعادت شهر	17
698	سعدآباد	7
699	سعیدآباد	8
700	سفیددشت	9
701	سفیدسنگ	11
702	سفیدشهر	4
703	سقز	20
704	سگزآباد	18
705	سگزی	4
706	سلامی	11
707	سلطان آباد (تهران)	8
708	سلطان آباد (خراسان رضوی)	11
